macro_id,occurrence,mdv
0,INSPECT@0,1.45
0,SPLIT@1,1.25
0,REPRESENT@2,1.05
0,COMPARE@3,0.8500000000000001
0,INFER@4,0.6499999999999999
1,COMPILE@0,1.45
1,INSPECT@1,1.1166666666666667
1,INSPECT@2,1.1166666666666667
1,TEST@3,0.95
1,CHALLENGE@4,0.7833333333333333
1,CLOSE@5,0.6166666666666666
2,TEST@0,1.45
2,INSPECT@1,1.3071428571428572
2,SPLIT@2,1.1642857142857141
2,INFER@3,1.0214285714285714
2,TEST@4,0.8785714285714286
2,UPDATE@5,0.7357142857142857
2,TEST@6,0.5928571428571429
3,COMPILE@0,1.45
3,EXPAND@1,1.25
3,EVALUATE@2,1.05
3,TEST@3,0.8500000000000001
3,SELECT@4,0.6499999999999999
4,VERIFY@0,1.45
4,ACT@1,1.25
4,INSPECT@2,1.05
4,TEST@3,0.8500000000000001
4,VERIFY@4,0.6499999999999999
5,COMPILE@0,1.45
5,EXPAND@1,1.3071428571428572
5,REPRESENT@2,1.1642857142857141
5,EVALUATE@3,1.0214285714285714
5,CHALLENGE@4,0.8785714285714286
5,SELECT@5,0.7357142857142857
5,COMPILE@6,0.5928571428571429
6,ACQUIRE@0,1.45
6,REPRESENT@1,1.2833333333333332
6,INFER@2,0.95
6,INFER@3,0.95
6,CHALLENGE@4,0.7833333333333333
6,CLOSE@5,0.6166666666666666
7,INSPECT@0,1.45
7,COMPILE@1,1.25
7,ACT@2,1.05
7,TEST@3,0.8500000000000001
7,VERIFY@4,0.6499999999999999
8,ACQUIRE@0,1.45
8,INSPECT@1,1.25
8,INFER@2,1.05
8,TEST@3,0.8500000000000001
8,UPDATE@4,0.6499999999999999
9,INSPECT@0,1.45
9,REPRESENT@1,1.2833333333333332
9,TRANSFORM@2,1.1166666666666667
9,ACT@3,0.95
9,UPDATE@4,0.7833333333333333
9,VERIFY@5,0.6166666666666666
10,COMPILE@0,1.3250000000000002
10,COMPILE@1,1.3250000000000002
10,EXPAND@2,1.2000000000000002
10,EVALUATE@3,1.0750000000000002
10,SELECT@4,0.9500000000000002
10,TRANSFORM@5,0.8250000000000002
10,TEST@6,0.7000000000000002
10,CONTROL@7,0.5750000000000002
11,COMPILE@0,1.45
11,SPLIT@1,1.25
11,REPRESENT@2,1.05
11,EVALUATE@3,0.8500000000000001
11,REPRESENT@4,0.6499999999999999
12,COMPILE@0,1.4500000000000002
12,EXPAND@1,1.2000000000000002
12,EVALUATE@2,0.9500000000000001
12,TRANSFORM@3,0.7000000000000001
13,INSPECT@0,1.45
13,COMPILE@1,1.25
13,TRANSFORM@2,1.05
13,TEST@3,0.8500000000000001
13,VERIFY@4,0.6499999999999999
14,COMPILE@0,1.4500000000000002
14,ACQUIRE@1,1.338888888888889
14,INSPECT@2,1.2277777777777779
14,REPRESENT@3,1.1166666666666667
14,EXPAND@4,1.0055555555555555
14,COMPARE@5,0.8944444444444445
14,CHALLENGE@6,0.7833333333333334
14,INFER@7,0.6722222222222223
14,VERIFY@8,0.5611111111111112
15,INSPECT@0,1.4500000000000002
15,COMPARE@1,1.2000000000000002
15,CHALLENGE@2,0.9500000000000001
15,CLOSE@3,0.7000000000000001
16,COMPILE@0,1.4500000000000002
16,REPRESENT@1,1.3250000000000002
16,SPLIT@2,1.2000000000000002
16,EXPAND@3,1.0750000000000002
16,EVALUATE@4,0.9500000000000002
16,TEST@5,0.8250000000000002
16,SELECT@6,0.7000000000000002
16,VERIFY@7,0.5750000000000002
17,ACQUIRE@0,1.45
17,INSPECT@1,1.2833333333333332
17,COMPARE@2,1.1166666666666667
17,UPDATE@3,0.95
17,INFER@4,0.7833333333333333
17,REPRESENT@5,0.6166666666666666
18,EVALUATE@0,1.45
18,REPRESENT@1,1.3071428571428572
18,SPLIT@2,1.1642857142857141
18,INFER@3,1.0214285714285714
18,REPRESENT@4,0.8785714285714286
18,TEST@5,0.7357142857142857
18,UPDATE@6,0.5928571428571429
19,INSPECT@0,1.45
19,TRANSFORM@1,1.25
19,INFER@2,1.05
19,TEST@3,0.8500000000000001
19,UPDATE@4,0.6499999999999999
