operator,regime,metric,value
COMPILE,POSITIVE,gross_effect,1.0
COMPILE,POSITIVE,evo,0.95
COMPILE,NEUTRAL,gross_effect,0.0
COMPILE,NEUTRAL,evo,-0.05
COMPILE,ADVERSARIAL,gross_effect,-0.05
COMPILE,ADVERSARIAL,evo,-0.1
ACQUIRE,POSITIVE,gross_effect,1.0
ACQUIRE,POSITIVE,evo,0.95
ACQUIRE,NEUTRAL,gross_effect,0.0
ACQUIRE,NEUTRAL,evo,-0.05
ACQUIRE,ADVERSARIAL,gross_effect,-0.05
ACQUIRE,ADVERSARIAL,evo,-0.1
INSPECT,POSITIVE,gross_effect,1.0
INSPECT,POSITIVE,evo,0.95
INSPECT,NEUTRAL,gross_effect,0.0
INSPECT,NEUTRAL,evo,-0.05
INSPECT,ADVERSARIAL,gross_effect,-0.05
INSPECT,ADVERSARIAL,evo,-0.1
REPRESENT,POSITIVE,gross_effect,1.0
REPRESENT,POSITIVE,evo,0.95
REPRESENT,NEUTRAL,gross_effect,0.0
REPRESENT,NEUTRAL,evo,-0.05
REPRESENT,ADVERSARIAL,gross_effect,-0.05
REPRESENT,ADVERSARIAL,evo,-0.1
SPLIT,POSITIVE,gross_effect,1.0
SPLIT,POSITIVE,evo,0.95
SPLIT,NEUTRAL,gross_effect,0.0
SPLIT,NEUTRAL,evo,-0.05
SPLIT,ADVERSARIAL,gross_effect,-0.05
SPLIT,ADVERSARIAL,evo,-0.1
EXPAND,POSITIVE,gross_effect,1.0
EXPAND,POSITIVE,evo,0.95
EXPAND,NEUTRAL,gross_effect,0.0
EXPAND,NEUTRAL,evo,-0.05
EXPAND,ADVERSARIAL,gross_effect,-0.05
EXPAND,ADVERSARIAL,evo,-0.1
COMPARE,POSITIVE,gross_effect,1.0
COMPARE,POSITIVE,evo,0.95
COMPARE,NEUTRAL,gross_effect,0.0
COMPARE,NEUTRAL,evo,-0.05
COMPARE,ADVERSARIAL,gross_effect,-0.05
COMPARE,ADVERSARIAL,evo,-0.1
INFER,POSITIVE,gross_effect,1.0
INFER,POSITIVE,evo,0.95
INFER,NEUTRAL,gross_effect,0.0
INFER,NEUTRAL,evo,-0.05
INFER,ADVERSARIAL,gross_effect,-0.05
INFER,ADVERSARIAL,evo,-0.1
CHALLENGE,POSITIVE,gross_effect,1.0
CHALLENGE,POSITIVE,evo,0.95
CHALLENGE,NEUTRAL,gross_effect,0.0
CHALLENGE,NEUTRAL,evo,-0.05
CHALLENGE,ADVERSARIAL,gross_effect,-0.05
CHALLENGE,ADVERSARIAL,evo,-0.1
TEST,POSITIVE,gross_effect,1.0
TEST,POSITIVE,evo,0.95
TEST,NEUTRAL,gross_effect,0.0
TEST,NEUTRAL,evo,-0.05
TEST,ADVERSARIAL,gross_effect,-0.05
TEST,ADVERSARIAL,evo,-0.1
UPDATE,POSITIVE,gross_effect,1.0
UPDATE,POSITIVE,evo,0.95
UPDATE,NEUTRAL,gross_effect,0.0
UPDATE,NEUTRAL,evo,-0.05
UPDATE,ADVERSARIAL,gross_effect,-0.05
UPDATE,ADVERSARIAL,evo,-0.1
EVALUATE,POSITIVE,gross_effect,1.0
EVALUATE,POSITIVE,evo,0.95
EVALUATE,NEUTRAL,gross_effect,0.0
EVALUATE,NEUTRAL,evo,-0.05
EVALUATE,ADVERSARIAL,gross_effect,-0.05
EVALUATE,ADVERSARIAL,evo,-0.1
SELECT,POSITIVE,gross_effect,1.0
SELECT,POSITIVE,evo,0.95
SELECT,NEUTRAL,gross_effect,0.0
SELECT,NEUTRAL,evo,-0.05
SELECT,ADVERSARIAL,gross_effect,-0.05
SELECT,ADVERSARIAL,evo,-0.1
TRANSFORM,POSITIVE,gross_effect,1.0
TRANSFORM,POSITIVE,evo,0.95
TRANSFORM,NEUTRAL,gross_effect,0.0
TRANSFORM,NEUTRAL,evo,-0.05
TRANSFORM,ADVERSARIAL,gross_effect,-0.05
TRANSFORM,ADVERSARIAL,evo,-0.1
ACT,POSITIVE,gross_effect,1.0
ACT,POSITIVE,evo,0.95
ACT,NEUTRAL,gross_effect,0.0
ACT,NEUTRAL,evo,-0.05
ACT,ADVERSARIAL,gross_effect,-0.05
ACT,ADVERSARIAL,evo,-0.1
VERIFY,POSITIVE,gross_effect,1.0
VERIFY,POSITIVE,evo,0.95
VERIFY,NEUTRAL,gross_effect,0.0
VERIFY,NEUTRAL,evo,-0.05
VERIFY,ADVERSARIAL,gross_effect,-0.05
VERIFY,ADVERSARIAL,evo,-0.1
CONTROL,POSITIVE,gross_effect,1.0
CONTROL,POSITIVE,evo,0.95
CONTROL,NEUTRAL,gross_effect,0.0
CONTROL,NEUTRAL,evo,-0.05
CONTROL,ADVERSARIAL,gross_effect,-0.05
CONTROL,ADVERSARIAL,evo,-0.1
CLOSE,POSITIVE,gross_effect,1.0
CLOSE,POSITIVE,evo,0.95
CLOSE,NEUTRAL,gross_effect,0.0
CLOSE,NEUTRAL,evo,-0.05
CLOSE,ADVERSARIAL,gross_effect,-0.05
CLOSE,ADVERSARIAL,evo,-0.1
