a,b,synergy,order_effect,macro_ab,macro_ba
COMPILE,ACQUIRE,0.02,1.5,1,0
COMPILE,INSPECT,0.06,-1.5,1,2
COMPILE,REPRESENT,0.02,1.5,1,0
COMPILE,SPLIT,0.02,1.5,1,0
COMPILE,EXPAND,0.08,1.5,4,0
COMPILE,COMPARE,0.0,0.0,0,0
COMPILE,INFER,0.0,0.0,0,0
COMPILE,CHALLENGE,0.0,0.0,0,0
COMPILE,TEST,0.0,0.0,0,0
COMPILE,UPDATE,0.0,0.0,0,0
COMPILE,EVALUATE,0.0,0.0,0,0
COMPILE,SELECT,0.02,-1.5,0,1
COMPILE,TRANSFORM,0.02,1.5,1,0
COMPILE,ACT,0.02,1.5,1,0
COMPILE,VERIFY,0.0,0.0,0,0
COMPILE,CONTROL,0.0,0.0,0,0
COMPILE,CLOSE,0.0,0.0,0,0
ACQUIRE,INSPECT,0.06,1.5,3,0
ACQUIRE,REPRESENT,0.02,1.5,1,0
ACQUIRE,SPLIT,0.0,0.0,0,0
ACQUIRE,EXPAND,0.0,0.0,0,0
ACQUIRE,COMPARE,0.0,0.0,0,0
ACQUIRE,INFER,0.0,0.0,0,0
ACQUIRE,CHALLENGE,0.0,0.0,0,0
ACQUIRE,TEST,0.0,0.0,0,0
ACQUIRE,UPDATE,0.0,0.0,0,0
ACQUIRE,EVALUATE,0.0,0.0,0,0
ACQUIRE,SELECT,0.0,0.0,0,0
ACQUIRE,TRANSFORM,0.0,0.0,0,0
ACQUIRE,ACT,0.0,0.0,0,0
ACQUIRE,VERIFY,0.0,0.0,0,0
ACQUIRE,CONTROL,0.0,0.0,0,0
ACQUIRE,CLOSE,0.0,0.0,0,0
INSPECT,REPRESENT,0.04,1.5,2,0
INSPECT,SPLIT,0.04,1.5,2,0
INSPECT,EXPAND,0.0,0.0,0,0
INSPECT,COMPARE,0.04,1.5,2,0
INSPECT,INFER,0.02,1.5,1,0
INSPECT,CHALLENGE,0.0,0.0,0,0
