operator,mc_shapley,mc_se,exact_small
COMPILE,0.24767600000000012,0.0012392622640070188,0.22000000000000003
ACQUIRE,0.14985200000000004,0.0005591655858781786,0.15000000000000002
INSPECT,0.29975600000000013,0.001645931320189929,0.22
REPRESENT,0.29837200000000014,0.0018407138747545066,0.2
SPLIT,0.20146000000000008,0.0010144651339013984,0.18000000000000002
EXPAND,0.2217560000000001,0.0012043825805283215,0.17000000000000004
COMPARE,0.18043600000000007,0.0007607139527730448,
INFER,0.27039600000000014,0.0013695049271722662,
CHALLENGE,0.19906000000000007,0.0009681625626668033,
TEST,0.3407600000000002,0.002177190968220847,
UPDATE,0.19055200000000008,0.0009660961274870689,
EVALUATE,0.23049200000000009,0.0012850127776671161,
SELECT,0.17068800000000006,0.0006696349851991617,
TRANSFORM,0.1886160000000001,0.0008277450943305187,
ACT,0.16037600000000007,0.0005663390086993441,
VERIFY,0.16960400000000006,0.0007082633438155893,
CONTROL,0.10998000000000002,0.00014143521762332353,
CLOSE,0.13016800000000003,0.0004242998483057174,
