operator,split,regime,ate
COMPILE,train,POSITIVE,1.0
COMPILE,train,NEUTRAL,0.0
COMPILE,train,ADVERSARIAL,-1.0
COMPILE,heldout,POSITIVE,1.0
COMPILE,heldout,NEUTRAL,0.0
COMPILE,heldout,ADVERSARIAL,-1.0
TEST,train,POSITIVE,1.0
TEST,train,NEUTRAL,0.0
TEST,train,ADVERSARIAL,-1.0
TEST,heldout,POSITIVE,1.0
TEST,heldout,NEUTRAL,0.0
TEST,heldout,ADVERSARIAL,-1.0
INSPECT,train,POSITIVE,1.0
INSPECT,train,NEUTRAL,0.0
INSPECT,train,ADVERSARIAL,-1.0
INSPECT,heldout,POSITIVE,1.0
INSPECT,heldout,NEUTRAL,0.0
INSPECT,heldout,ADVERSARIAL,-1.0
REPRESENT,train,POSITIVE,1.0
REPRESENT,train,NEUTRAL,0.0
REPRESENT,train,ADVERSARIAL,-1.0
REPRESENT,heldout,POSITIVE,1.0
REPRESENT,heldout,NEUTRAL,0.0
REPRESENT,heldout,ADVERSARIAL,-1.0
INFER,train,POSITIVE,1.0
INFER,train,NEUTRAL,0.0
INFER,train,ADVERSARIAL,-1.0
INFER,heldout,POSITIVE,1.0
INFER,heldout,NEUTRAL,0.0
INFER,heldout,ADVERSARIAL,-1.0
VERIFY,train,POSITIVE,1.0
VERIFY,train,NEUTRAL,0.0
VERIFY,train,ADVERSARIAL,-1.0
VERIFY,heldout,POSITIVE,1.0
VERIFY,heldout,NEUTRAL,0.0
VERIFY,heldout,ADVERSARIAL,-1.0
