rank,operator,net_value,cost,value_per_cost
1,TEST,1.6,0.050000000000000044,31.999999999999975
2,VERIFY,1.3,0.050000000000000044,25.99999999999998
3,SPLIT,1.3,0.050000000000000044,25.99999999999998
4,INFER,1.3,0.050000000000000044,25.99999999999998
5,EXPAND,1.3,0.050000000000000044,25.99999999999998
6,COMPARE,1.3,0.050000000000000044,25.99999999999998
7,CHALLENGE,1.3,0.050000000000000044,25.99999999999998
8,INSPECT,1.25,0.050000000000000044,24.99999999999998
9,ACQUIRE,1.25,0.050000000000000044,24.99999999999998
10,UPDATE,0.95,0.050000000000000044,18.999999999999982
11,TRANSFORM,0.95,0.050000000000000044,18.999999999999982
12,SELECT,0.95,0.050000000000000044,18.999999999999982
13,REPRESENT,0.95,0.050000000000000044,18.999999999999982
14,EVALUATE,0.95,0.050000000000000044,18.999999999999982
15,CONTROL,0.95,0.050000000000000044,18.999999999999982
16,COMPILE,0.95,0.050000000000000044,18.999999999999982
17,ACT,0.95,0.050000000000000044,18.999999999999982
